customer_id,first_name,last_name,phone,email
1001,Dana,Jones,8576465699,dana.jones@gmail.com
1002,John,Kivell,8123457024,john211@gmail.com
1003,Ashley,Jardine,8123451709,ashley.great@gmail.com
1004,Ronnie,Gill,8123546789,gill999@gmail.com
1005,James,Sorvino,8987654321,sorvinoj@gmail.com
1006,Debra,Jones,8120989767,djones11@gmail.com
1007,Anastasia,Andrews,8124366666,anaandrews@gmail.com
1008,Mattew,Jardine,8127777777,jarmatthew@gmail.com
1009,Raven,Thompson,8177777772,raven.t2019@gmail.com
1010,Tykeem,Peterkin,8777777712,peterkin-tykeem@gmail.com
1011,Ronda,Poe,8101010102,rondapoe@gmail.com
1012,Bria,Moore,8182818212,briamoore@gmail.com
1013,Eva,Johnson,8272727212,evajohnson22@gmail.com
1014,Brianna,Montana,8292929212,montana.b68@gmail.com
1015,Aniya,Knowles,8129020932,a.knowles88@gmail.com
1016,Cody,Springle,8129302032,codyspringle@gmail.com
1017,Marcus,Moore,8116263742,marcusmoore10@gmail.com
1018,Rihanna,Jones,8199988892,rihannajones@gmail.com
1019,Beyonce,Jones,8190909092,beyoncej04@gmail.com
1020,Jay,Kivell,8909090912,jay.kivell@gmail.com
2001,Diddy,Jardine,8178787872,djardine@gmail.com
2002,Nasir,Gill,8576460899,nasirgill99@gmail.com
2003,Alisha,Sorvino,8123456789,sorvino-alisha@gmail.com
2004,Marie,Jones,8178780872,mariej00@gmail.com
2005,Elizabeth,Andrews,8178780872,e.andrews@gmail.com
2006,David,Jardine,8178780872,davidjar22@gmail.com
2007,Kamari,Thompson,8178780872,kthompson@gmail.com
2008,Dana,Moore,8178780872,dana.moore@gmail.com
2009,John,Lindo,8178780872,johnlindo45@gmail.com
2010,Ashley,Brown,8178780872,ashleybb@gmail.com
2011,Ronnie,Smith,8178780872,ronniesmith@gmail.com
2012,James,Brown,8178780872,jamesbrown@gmail.com
2013,Debra,Pearson,8178780872,debraepearson@gmail.com
2014,Anastasia,Withers,8576400649,anawithers@gmail.com
2015,Mattew,Jardine,9876543210,mattjar1@aol.com
2016,Raven,Thompson,9876543121,raven124@gmail.com
2017,Tykeem,Peterkin,9876543132,peterkint123@yahoo.com
2018,Ronda,Poe,9876543143,rondapoe@yahoo.com
2019,John,Q,9876543154,john.q@gmail.com
2020,Sale,Homes,9876543615,holems.sale@yahoo.com
3001,Freddy,Byrd,9876543176,freddy22@yahoo.com
3002,Errol,Lindo,9876543187,errol.lindo@gmail.com
3003,Cleopatra,Soul,8435441234,cleosoul7@aol.com
3004,Stevie,Wonder,8435441235,stevewonder@yahoo.com
3005,Anita,Baker,8435441236,anita.baker@yahoo.com
3006,Marvin,Gaye,8435441237,marvingaye99@gmail.com
3007,Kirk,Franklin,8435441238,krikf21@aol.com
3008,Teddy ,Pendergrass,8435441239,teddyp@hotmail.com
3009,Earth,Wind-Fire,8435441240,earthwindfire@gmail.com
3010,Cameo,Sparkle,8435441241,cameo48@yahoo.com
3011,Adele,Franklin,8435441242,a.frank@yahoo.com
3012,Donna,Summer,8435441243,donnasum21@aol.com
3013,James,Brown,8435441244,jamesbr99@ymail.com
3014,Shonda,Rhimes,8435441245,shondarhimes3@ymail.com
3015,Halle,Berry,8435441246,halleyb2@ymail.com
3016,Annalise,Keeting,8435441247,annak11@ymail.com
3017,Lauryn,Hill,8435441248,laurynhill@yahoo.com
3018,Elizabeth,Andrews,8435441249,eli.andrews@aol.com
3019,David,Jardine,8435441250,djardine@yahoo.com
3020,Kamari,Thompson,8435441251,kthompson33@ymail.com
